PlayerID,PlayerName,Team,Season,GamesPlayed,AvgMinutes,Points,Rebounds,Assists,Steals,Blocks,Turnovers,FieldGoalPct,FreeThrowPct,ThreePointPct,ThreePointersMade,ThreePointAttempts,FieldGoalsMade,FieldGoalAttempts,FreeThrowsMade,FreeThrowAttempts,TrueShootingPct,UsageRate
203932,Aaron Gordon,ORL,2016-17,80,28.7,12.7,5.1,1.9,0.8,0.5,1.1,0.454,0.719,0.288,1.0,3.3,4.9,10.8,2.0,2.7,0.53,0.197
201143,Al Horford,BOS,2016-17,68,32.3,14.0,6.8,5.0,0.8,1.3,1.7,0.473,0.8,0.355,1.3,3.6,5.6,11.8,1.6,2.0,0.553,0.196
202329,Al-Farouq Aminu,POR,2016-17,61,29.1,8.7,7.4,1.6,1.0,0.7,1.5,0.393,0.706,0.33,1.1,3.5,3.0,7.6,1.6,2.2,0.506,0.155
203459,Allen Crabbe,POR,2016-17,79,28.5,10.7,2.9,1.2,0.7,0.3,0.8,0.468,0.847,0.444,1.7,3.8,3.8,8.2,1.3,1.6,0.602,0.146
203083,Andre Drummond,DET,2016-17,81,29.7,13.6,13.8,1.1,1.5,1.1,1.9,0.53,0.386,0.286,0.0,0.1,6.0,11.2,1.7,4.4,0.518,0.222
2738,Andre Iguodala,GSW,2016-17,76,26.3,7.6,4.0,3.4,1.0,0.5,0.8,0.528,0.706,0.362,0.8,2.3,2.9,5.5,0.9,1.3,0.624,0.111
203460,Andre Roberson,OKC,2016-17,79,30.1,6.6,5.1,1.0,1.2,1.0,0.6,0.464,0.423,0.245,0.6,2.3,2.7,5.9,0.6,1.4,0.51,0.099
203952,Andrew Wiggins,MIN,2016-17,82,37.2,23.6,4.0,2.3,1.0,0.4,2.3,0.452,0.76,0.356,1.3,3.5,8.6,19.1,5.0,6.6,0.534,0.286
203076,Anthony Davis,NOP,2016-17,75,36.1,28.0,11.8,2.1,1.3,2.2,2.4,0.505,0.802,0.299,0.5,1.8,10.3,20.3,6.9,8.6,0.58,0.321
201167,Arron Afflalo,SAC,2016-17,61,25.9,8.4,2.0,1.3,0.3,0.1,0.7,0.44,0.892,0.411,1.0,2.5,3.0,6.9,1.4,1.5,0.559,0.143
203085,Austin Rivers,LAC,2016-17,74,27.8,12.0,2.2,2.8,0.6,0.1,1.6,0.442,0.691,0.371,1.5,4.0,4.4,9.9,1.8,2.6,0.545,0.198
202340,Avery Bradley,BOS,2016-17,55,33.4,16.3,6.1,2.2,1.2,0.2,1.6,0.463,0.731,0.39,2.0,5.0,6.5,14.1,1.2,1.7,0.548,0.215
201933,Blake Griffin,LAC,2016-17,61,34.0,21.6,8.1,4.9,0.9,0.4,2.3,0.493,0.76,0.336,0.6,1.9,7.9,15.9,5.2,6.9,0.569,0.276
